# path	class	outlier_score
DS2GROCERIES\train\cheese\cheese.1134.jpg	cheese	1.241
DS2GROCERIES\train\cheese\cheese.185.jpg	cheese	1.241
DS2GROCERIES\train\cheese\cheese.753.jpg	cheese	1.241
DS2GROCERIES\train\cheese\cheese.1066.jpg	cheese	1.240
DS2GROCERIES\train\cheese\cheese.249.jpg	cheese	1.240
DS2GROCERIES\train\cheese\cheese.962.jpg	cheese	1.240
DS2GROCERIES\train\cheese\cheese.294.jpg	cheese	1.239
DS2GROCERIES\train\cheese\cheese.187.jpg	cheese	1.238
DS2GROCERIES\train\chicken\chicken.692.jpg	chicken	1.380
DS2GROCERIES\train\chicken\chicken.458.jpg	chicken	1.366
DS2GROCERIES\train\chicken\chicken.1075.jpg	chicken	1.364
DS2GROCERIES\train\chicken\chicken.345.jpg	chicken	1.364
DS2GROCERIES\train\chicken\chicken.1278.jpg	chicken	1.364
DS2GROCERIES\train\chicken\chicken.472.jpg	chicken	1.364
DS2GROCERIES\train\chicken\chicken.499.jpg	chicken	1.362
DS2GROCERIES\train\chicken\chicken.729.jpg	chicken	1.362
DS2GROCERIES\train\chicken\chicken.486.jpg	chicken	1.361
DS2GROCERIES\train\chicken\chicken.912.jpg	chicken	1.361
DS2GROCERIES\train\chicken\chicken.314.jpg	chicken	1.361
DS2GROCERIES\train\chicken\chicken.1170.jpg	chicken	1.361
DS2GROCERIES\train\chicken\chicken.367.jpg	chicken	1.359
DS2GROCERIES\train\chicken\chicken.198.jpg	chicken	1.358
DS2GROCERIES\train\chicken\chicken.401.jpg	chicken	1.358
DS2GROCERIES\train\chicken\chicken.440.jpg	chicken	1.357
DS2GROCERIES\train\chicken\chicken.365.jpg	chicken	1.357
DS2GROCERIES\train\chicken\chicken.500.jpg	chicken	1.356
DS2GROCERIES\train\chicken\chicken.1232.jpg	chicken	1.355
DS2GROCERIES\train\chicken\chicken.421.jpg	chicken	1.354
DS2GROCERIES\train\chicken\chicken.1021.jpg	chicken	1.352
DS2GROCERIES\train\chicken\chicken.430.jpg	chicken	1.352
DS2GROCERIES\train\chicken\chicken.954.jpg	chicken	1.351
DS2GROCERIES\train\chicken\chicken.108.jpg	chicken	1.350
DS2GROCERIES\train\chicken\chicken.1117.jpg	chicken	1.348
DS2GROCERIES\train\chicken\chicken.558.jpg	chicken	1.347
DS2GROCERIES\train\chicken\chicken.907.jpg	chicken	1.347
DS2GROCERIES\train\chicken\chicken.1161.jpg	chicken	1.346
DS2GROCERIES\train\chicken\chicken.1258.jpg	chicken	1.345
DS2GROCERIES\train\chicken\chicken.640.jpg	chicken	1.345
DS2GROCERIES\train\chicken\chicken.597.jpg	chicken	1.345
DS2GROCERIES\train\chicken\chicken.583.jpg	chicken	1.345
DS2GROCERIES\train\chicken\chicken.485.jpg	chicken	1.344
DS2GROCERIES\train\chicken\chicken.436.jpg	chicken	1.343
DS2GROCERIES\train\chicken\chicken.694.jpg	chicken	1.343
DS2GROCERIES\train\chicken\chicken.713.jpg	chicken	1.342
DS2GROCERIES\train\chicken\chicken.460.jpg	chicken	1.339
DS2GROCERIES\train\chicken\chicken.357.jpg	chicken	1.339
DS2GROCERIES\train\chicken\chicken.487.jpg	chicken	1.338
DS2GROCERIES\train\chicken\chicken.651.jpg	chicken	1.338
DS2GROCERIES\train\chicken\chicken.531.jpg	chicken	1.337
DS2GROCERIES\train\chicken\chicken.438.jpg	chicken	1.334
DS2GROCERIES\train\chicken\chicken.602.jpg	chicken	1.331
DS2GROCERIES\train\chicken\chicken.59.jpg	chicken	1.327
DS2GROCERIES\train\chicken\chicken.133.jpg	chicken	1.327
DS2GROCERIES\train\chicken\chicken.186.jpg	chicken	1.326
DS2GROCERIES\train\chicken\chicken.389.jpg	chicken	1.326
DS2GROCERIES\train\chicken\chicken.442.jpg	chicken	1.324
DS2GROCERIES\train\chicken\chicken.1253.jpg	chicken	1.324
DS2GROCERIES\train\chicken\chicken.1162.jpg	chicken	1.323
DS2GROCERIES\train\chicken\chicken.279.jpg	chicken	1.322
DS2GROCERIES\train\chicken\chicken.691.jpg	chicken	1.321
DS2GROCERIES\train\chicken\chicken.479.jpg	chicken	1.321
DS2GROCERIES\train\chicken\chicken.589.jpg	chicken	1.319
DS2GROCERIES\train\chicken\chicken.849.jpg	chicken	1.318
DS2GROCERIES\train\chicken\chicken.63.jpg	chicken	1.318
DS2GROCERIES\train\chicken\chicken.705.jpg	chicken	1.317
DS2GROCERIES\train\chicken\chicken.17.jpg	chicken	1.315
DS2GROCERIES\train\chicken\chicken.1188.jpg	chicken	1.315
DS2GROCERIES\train\chicken\chicken.768.jpg	chicken	1.314
DS2GROCERIES\train\chicken\chicken.185.jpg	chicken	1.313
DS2GROCERIES\train\chicken\chicken.840.jpg	chicken	1.312
DS2GROCERIES\train\cucumber\cucumber.524.jpg	cucumber	2.543
DS2GROCERIES\train\cucumber\cucumber.281.jpg	cucumber	2.447
DS2GROCERIES\train\cucumber\cucumber.560.jpg	cucumber	2.296
DS2GROCERIES\train\cucumber\cucumber.475.jpg	cucumber	2.291
DS2GROCERIES\train\cucumber\cucumber.498.jpg	cucumber	2.249
DS2GROCERIES\train\cucumber\cucumber.922.jpg	cucumber	2.199
DS2GROCERIES\train\cucumber\cucumber.521.jpg	cucumber	2.090
DS2GROCERIES\train\cucumber\cucumber.993.jpg	cucumber	2.055
DS2GROCERIES\train\cucumber\cucumber.260.jpg	cucumber	2.055
DS2GROCERIES\train\cucumber\cucumber.948.jpg	cucumber	2.054
DS2GROCERIES\train\cucumber\cucumber.287.jpg	cucumber	2.052
DS2GROCERIES\train\cucumber\cucumber.16.jpg	cucumber	2.052
DS2GROCERIES\train\cucumber\cucumber.1114.jpg	cucumber	2.051
DS2GROCERIES\train\cucumber\cucumber.534.jpg	cucumber	2.050
DS2GROCERIES\train\cucumber\cucumber.442.jpg	cucumber	2.046
DS2GROCERIES\train\cucumber\cucumber.384.jpg	cucumber	2.043
DS2GROCERIES\train\cucumber\cucumber.317.jpg	cucumber	2.040
DS2GROCERIES\train\cucumber\cucumber.880.jpg	cucumber	2.038
DS2GROCERIES\train\cucumber\cucumber.415.jpg	cucumber	2.037
DS2GROCERIES\train\cucumber\cucumber.478.jpg	cucumber	2.036
DS2GROCERIES\train\cucumber\cucumber.466.jpg	cucumber	2.028
DS2GROCERIES\train\cucumber\cucumber.1186.jpg	cucumber	2.023
DS2GROCERIES\train\cucumber\cucumber.843.jpg	cucumber	2.022
DS2GROCERIES\train\cucumber\cucumber.624.jpg	cucumber	2.022
DS2GROCERIES\train\cucumber\cucumber.535.jpg	cucumber	2.022
DS2GROCERIES\train\cucumber\cucumber.98.jpg	cucumber	2.018
DS2GROCERIES\train\cucumber\cucumber.174.jpg	cucumber	2.015
DS2GROCERIES\train\cucumber\cucumber.286.jpg	cucumber	2.013
DS2GROCERIES\train\cucumber\cucumber.438.jpg	cucumber	2.009
DS2GROCERIES\train\cucumber\cucumber.396.jpg	cucumber	2.007
DS2GROCERIES\train\cucumber\cucumber.830.jpg	cucumber	1.999
DS2GROCERIES\train\cucumber\cucumber.895.jpg	cucumber	1.993
DS2GROCERIES\train\cucumber\cucumber.486.jpg	cucumber	1.993
DS2GROCERIES\train\cucumber\cucumber.495.jpg	cucumber	1.988
DS2GROCERIES\train\cucumber\cucumber.520.jpg	cucumber	1.988
DS2GROCERIES\train\cucumber\cucumber.441.jpg	cucumber	1.980
DS2GROCERIES\train\cucumber\cucumber.658.jpg	cucumber	1.980
DS2GROCERIES\train\cucumber\cucumber.1054.jpg	cucumber	1.979
DS2GROCERIES\train\cucumber\cucumber.1188.jpg	cucumber	1.978
DS2GROCERIES\train\cucumber\cucumber.247.jpg	cucumber	1.971
DS2GROCERIES\train\cucumber\cucumber.1220.jpg	cucumber	1.969
DS2GROCERIES\train\cucumber\cucumber.894.jpg	cucumber	1.967
DS2GROCERIES\train\cucumber\cucumber.567.jpg	cucumber	1.957
DS2GROCERIES\train\cucumber\cucumber.842.jpg	cucumber	1.956
DS2GROCERIES\train\cucumber\cucumber.523.jpg	cucumber	1.953
DS2GROCERIES\train\cucumber\cucumber.858.jpg	cucumber	1.951
DS2GROCERIES\train\cucumber\cucumber.432.jpg	cucumber	1.950
DS2GROCERIES\train\cucumber\cucumber.1067.jpg	cucumber	1.939
DS2GROCERIES\train\cucumber\cucumber.215.jpg	cucumber	1.934
DS2GROCERIES\train\cucumber\cucumber.349.jpg	cucumber	1.930
DS2GROCERIES\train\cucumber\cucumber.828.jpg	cucumber	1.928
DS2GROCERIES\train\cucumber\cucumber.1106.jpg	cucumber	1.927
DS2GROCERIES\train\cucumber\cucumber.195.jpg	cucumber	1.922
DS2GROCERIES\train\cucumber\cucumber.487.jpg	cucumber	1.917
DS2GROCERIES\train\cucumber\cucumber.1056.jpg	cucumber	1.914
DS2GROCERIES\train\cucumber\cucumber.917.jpg	cucumber	1.910
DS2GROCERIES\train\cucumber\cucumber.355.jpg	cucumber	1.910
DS2GROCERIES\train\cucumber\cucumber.489.jpg	cucumber	1.908
DS2GROCERIES\train\cucumber\cucumber.907.jpg	cucumber	1.906
DS2GROCERIES\train\cucumber\cucumber.519.jpg	cucumber	1.905
DS2GROCERIES\train\eggs\eggs.848.jpg	eggs	1.429
DS2GROCERIES\train\eggs\eggs.182.jpg	eggs	1.398
DS2GROCERIES\train\eggs\eggs.1667.jpg	eggs	1.398
DS2GROCERIES\train\eggs\eggs.138.jpg	eggs	1.392
DS2GROCERIES\train\eggs\eggs.649.jpg	eggs	1.374
DS2GROCERIES\train\eggs\eggs.896.jpg	eggs	1.374
DS2GROCERIES\train\eggs\eggs.1732.jpg	eggs	1.372
DS2GROCERIES\train\eggs\eggs.94.jpg	eggs	1.369
DS2GROCERIES\train\eggs\eggs.741.jpg	eggs	1.369
DS2GROCERIES\train\eggs\eggs.814.jpg	eggs	1.369
DS2GROCERIES\train\eggs\eggs.1577.jpg	eggs	1.364
DS2GROCERIES\train\eggs\eggs.676.jpg	eggs	1.364
DS2GROCERIES\train\eggs\eggs.1802.jpg	eggs	1.364
DS2GROCERIES\train\eggs\eggs.633.jpg	eggs	1.363
DS2GROCERIES\train\eggs\eggs.59.jpg	eggs	1.363
DS2GROCERIES\train\eggs\eggs.411.jpg	eggs	1.362
DS2GROCERIES\train\eggs\eggs.199.jpg	eggs	1.358
DS2GROCERIES\train\eggs\eggs.1723.jpg	eggs	1.354
DS2GROCERIES\train\eggs\eggs.1820.jpg	eggs	1.353
DS2GROCERIES\train\eggs\eggs.21.jpg	eggs	1.353
DS2GROCERIES\train\eggs\eggs.718.jpg	eggs	1.352
DS2GROCERIES\train\eggs\eggs.890.jpg	eggs	1.352
DS2GROCERIES\train\eggs\eggs.131.jpg	eggs	1.351
DS2GROCERIES\train\eggs\eggs.202.jpg	eggs	1.351
DS2GROCERIES\train\eggs\eggs.588.jpg	eggs	1.349
DS2GROCERIES\train\eggs\eggs.1574.jpg	eggs	1.348
DS2GROCERIES\train\eggs\eggs.876.jpg	eggs	1.347
DS2GROCERIES\train\eggs\eggs.1912.jpg	eggs	1.345
DS2GROCERIES\train\eggs\eggs.693.jpg	eggs	1.344
DS2GROCERIES\train\eggs\eggs.1698.jpg	eggs	1.343
DS2GROCERIES\train\eggs\eggs.230.jpg	eggs	1.341
DS2GROCERIES\train\eggs\eggs.215.jpg	eggs	1.341
DS2GROCERIES\train\eggs\eggs.31.jpg	eggs	1.338
DS2GROCERIES\train\eggs\eggs.460.jpg	eggs	1.338
DS2GROCERIES\train\eggs\eggs.1742.jpg	eggs	1.337
DS2GROCERIES\train\eggs\eggs.1679.jpg	eggs	1.336
DS2GROCERIES\train\eggs\eggs.575.jpg	eggs	1.335
DS2GROCERIES\train\eggs\eggs.540.jpg	eggs	1.335
DS2GROCERIES\train\eggs\eggs.618.jpg	eggs	1.334
DS2GROCERIES\train\eggs\eggs.57.jpg	eggs	1.334
DS2GROCERIES\train\eggs\eggs.1906.jpg	eggs	1.333
DS2GROCERIES\train\eggs\eggs.927.jpg	eggs	1.332
DS2GROCERIES\train\eggs\eggs.949.jpg	eggs	1.331
DS2GROCERIES\train\eggs\eggs.402.jpg	eggs	1.330
DS2GROCERIES\train\eggs\eggs.912.jpg	eggs	1.330
DS2GROCERIES\train\eggs\eggs.1897.jpg	eggs	1.330
DS2GROCERIES\train\eggs\eggs.198.jpg	eggs	1.329
DS2GROCERIES\train\eggs\eggs.751.jpg	eggs	1.327
DS2GROCERIES\train\eggs\eggs.1939.jpg	eggs	1.327
DS2GROCERIES\train\eggs\eggs.1869.jpg	eggs	1.326
DS2GROCERIES\train\eggs\eggs.805.jpg	eggs	1.325
DS2GROCERIES\train\eggs\eggs.938.jpg	eggs	1.325
DS2GROCERIES\train\eggs\eggs.1808.jpg	eggs	1.324
DS2GROCERIES\train\eggs\eggs.738.jpg	eggs	1.324
DS2GROCERIES\train\eggs\eggs.268.jpg	eggs	1.323
DS2GROCERIES\train\eggs\eggs.966.jpg	eggs	1.322
DS2GROCERIES\train\eggs\eggs.813.jpg	eggs	1.321
DS2GROCERIES\train\eggs\eggs.532.jpg	eggs	1.321
DS2GROCERIES\train\eggs\eggs.953.jpg	eggs	1.320
DS2GROCERIES\train\eggs\eggs.561.jpg	eggs	1.319
DS2GROCERIES\train\eggs\eggs.1908.jpg	eggs	1.319
DS2GROCERIES\train\eggs\eggs.48.jpg	eggs	1.318
DS2GROCERIES\train\eggs\eggs.1925.jpg	eggs	1.317
DS2GROCERIES\train\eggs\eggs.667.jpg	eggs	1.317
DS2GROCERIES\train\eggs\eggs.781.jpg	eggs	1.316
DS2GROCERIES\train\fish\fish.327.jpg	fish	1.464
DS2GROCERIES\train\fish\fish.1124.jpg	fish	1.446
DS2GROCERIES\train\fish\fish.1131.jpg	fish	1.437
DS2GROCERIES\train\fish\fish.717.jpg	fish	1.434
DS2GROCERIES\train\fish\fish.90.jpg	fish	1.431
DS2GROCERIES\train\fish\fish.1123.jpg	fish	1.427
DS2GROCERIES\train\fish\fish.958.jpg	fish	1.426
DS2GROCERIES\train\fish\fish.157.jpg	fish	1.424
DS2GROCERIES\train\fish\fish.1024.jpg	fish	1.423
DS2GROCERIES\train\fish\fish.1085.jpg	fish	1.422
DS2GROCERIES\train\fish\fish.1166.jpg	fish	1.421
DS2GROCERIES\train\fish\fish.215.jpg	fish	1.420
DS2GROCERIES\train\fish\fish.276.jpg	fish	1.412
DS2GROCERIES\train\fish\fish.907.jpg	fish	1.409
DS2GROCERIES\train\fish\fish.1034.jpg	fish	1.407
DS2GROCERIES\train\fish\fish.682.jpg	fish	1.404
DS2GROCERIES\train\fish\fish.364.jpg	fish	1.404
DS2GROCERIES\train\fish\fish.985.jpg	fish	1.403
DS2GROCERIES\train\fish\fish.477.jpg	fish	1.402
DS2GROCERIES\train\fish\fish.737.jpg	fish	1.401
DS2GROCERIES\train\fish\fish.1011.jpg	fish	1.399
DS2GROCERIES\train\fish\fish.1182.jpg	fish	1.397
DS2GROCERIES\train\fish\fish.793.jpg	fish	1.397
DS2GROCERIES\train\fish\fish.1044.jpg	fish	1.396
DS2GROCERIES\train\fish\fish.729.jpg	fish	1.395
DS2GROCERIES\train\fish\fish.1253.jpg	fish	1.392
DS2GROCERIES\train\fish\fish.289.jpg	fish	1.389
DS2GROCERIES\train\fish\fish.314.jpg	fish	1.388
DS2GROCERIES\train\fish\fish.1048.jpg	fish	1.387
DS2GROCERIES\train\fish\fish.609.jpg	fish	1.386
DS2GROCERIES\train\fish\fish.556.jpg	fish	1.385
DS2GROCERIES\train\fish\fish.1243.jpg	fish	1.385
DS2GROCERIES\train\fish\fish.547.jpg	fish	1.383
DS2GROCERIES\train\fish\fish.1288.jpg	fish	1.383
DS2GROCERIES\train\fish\fish.653.jpg	fish	1.381
DS2GROCERIES\train\fish\fish.855.jpg	fish	1.381
DS2GROCERIES\train\fish\fish.537.jpg	fish	1.377
DS2GROCERIES\train\fish\fish.917.jpg	fish	1.377
DS2GROCERIES\train\fish\fish.866.jpg	fish	1.376
DS2GROCERIES\train\fish\fish.771.jpg	fish	1.374
DS2GROCERIES\train\fish\fish.747.jpg	fish	1.373
DS2GROCERIES\train\fish\fish.1140.jpg	fish	1.372
DS2GROCERIES\train\fish\fish.893.jpg	fish	1.372
DS2GROCERIES\train\fish\fish.225.jpg	fish	1.371
DS2GROCERIES\train\fish\fish.708.jpg	fish	1.370
DS2GROCERIES\train\fish\fish.652.jpg	fish	1.370
DS2GROCERIES\train\fish\fish.602.jpg	fish	1.369
DS2GROCERIES\train\fish\fish.83.jpg	fish	1.366
DS2GROCERIES\train\fish\fish.148.jpg	fish	1.365
DS2GROCERIES\train\fish\fish.1155.jpg	fish	1.362
DS2GROCERIES\train\fish\fish.62.jpg	fish	1.362
DS2GROCERIES\train\fish\fish.702.jpg	fish	1.361
DS2GROCERIES\train\fish\fish.566.jpg	fish	1.361
DS2GROCERIES\train\fish\fish.1096.jpg	fish	1.360
DS2GROCERIES\train\fish\fish.1229.jpg	fish	1.360
DS2GROCERIES\train\fish\fish.413.jpg	fish	1.360
DS2GROCERIES\train\fish\fish.205.jpg	fish	1.359
DS2GROCERIES\train\fish\fish.1005.jpg	fish	1.359
DS2GROCERIES\train\fish\fish.97.jpg	fish	1.358
DS2GROCERIES\train\fish\fish.147.jpg	fish	1.358
DS2GROCERIES\train\fish\fish.74.jpg	fish	1.357
DS2GROCERIES\train\fish\fish.567.jpg	fish	1.356
DS2GROCERIES\train\lettuce\lettuce.1163.jpg	lettuce	1.851
DS2GROCERIES\train\lettuce\lettuce.323.jpg	lettuce	1.834
DS2GROCERIES\train\lettuce\lettuce.180.jpg	lettuce	1.802
DS2GROCERIES\train\lettuce\lettuce.217.jpg	lettuce	1.799
DS2GROCERIES\train\lettuce\lettuce.1017.jpg	lettuce	1.784
DS2GROCERIES\train\lettuce\lettuce.71.jpg	lettuce	1.775
DS2GROCERIES\train\lettuce\lettuce.1023.jpg	lettuce	1.775
DS2GROCERIES\train\lettuce\lettuce.902.jpg	lettuce	1.769
DS2GROCERIES\train\lettuce\lettuce.2.jpg	lettuce	1.765
DS2GROCERIES\train\lettuce\lettuce.518.jpg	lettuce	1.763
DS2GROCERIES\train\lettuce\lettuce.1211.jpg	lettuce	1.763
DS2GROCERIES\train\lettuce\lettuce.51.jpg	lettuce	1.756
DS2GROCERIES\train\lettuce\lettuce.200.jpg	lettuce	1.755
DS2GROCERIES\train\lettuce\lettuce.1244.jpg	lettuce	1.753
DS2GROCERIES\train\lettuce\lettuce.35.jpg	lettuce	1.751
DS2GROCERIES\train\lettuce\lettuce.104.jpg	lettuce	1.750
DS2GROCERIES\train\lettuce\lettuce.624.jpg	lettuce	1.746
DS2GROCERIES\train\lettuce\lettuce.908.jpg	lettuce	1.746
DS2GROCERIES\train\lettuce\lettuce.130.jpg	lettuce	1.744
DS2GROCERIES\train\lettuce\lettuce.1062.jpg	lettuce	1.739
DS2GROCERIES\train\lettuce\lettuce.442.jpg	lettuce	1.738
DS2GROCERIES\train\lettuce\lettuce.614.jpg	lettuce	1.736
DS2GROCERIES\train\lettuce\lettuce.465.jpg	lettuce	1.735
DS2GROCERIES\train\lettuce\lettuce.1151.jpg	lettuce	1.733
DS2GROCERIES\train\lettuce\lettuce.899.jpg	lettuce	1.733
DS2GROCERIES\train\lettuce\lettuce.214.jpg	lettuce	1.731
DS2GROCERIES\train\lettuce\lettuce.183.jpg	lettuce	1.730
DS2GROCERIES\train\lettuce\lettuce.1105.jpg	lettuce	1.726
DS2GROCERIES\train\lettuce\lettuce.1279.jpg	lettuce	1.724
DS2GROCERIES\train\lettuce\lettuce.85.jpg	lettuce	1.718
DS2GROCERIES\train\lettuce\lettuce.1027.jpg	lettuce	1.715
DS2GROCERIES\train\lettuce\lettuce.233.jpg	lettuce	1.710
DS2GROCERIES\train\lettuce\lettuce.94.jpg	lettuce	1.709
DS2GROCERIES\train\lettuce\lettuce.1213.jpg	lettuce	1.705
DS2GROCERIES\train\lettuce\lettuce.1258.jpg	lettuce	1.703
DS2GROCERIES\train\lettuce\lettuce.261.jpg	lettuce	1.703
DS2GROCERIES\train\lettuce\lettuce.1052.jpg	lettuce	1.698
DS2GROCERIES\train\lettuce\lettuce.1263.jpg	lettuce	1.697
DS2GROCERIES\train\lettuce\lettuce.46.jpg	lettuce	1.694
DS2GROCERIES\train\lettuce\lettuce.615.jpg	lettuce	1.691
DS2GROCERIES\train\lettuce\lettuce.1319.jpg	lettuce	1.690
DS2GROCERIES\train\lettuce\lettuce.173.jpg	lettuce	1.679
DS2GROCERIES\train\lettuce\lettuce.998.jpg	lettuce	1.679
DS2GROCERIES\train\lettuce\lettuce.563.jpg	lettuce	1.678
DS2GROCERIES\train\lettuce\lettuce.545.jpg	lettuce	1.675
DS2GROCERIES\train\lettuce\lettuce.670.jpg	lettuce	1.674
DS2GROCERIES\train\lettuce\lettuce.397.jpg	lettuce	1.672
DS2GROCERIES\train\lettuce\lettuce.1063.jpg	lettuce	1.671
DS2GROCERIES\train\lettuce\lettuce.1168.jpg	lettuce	1.671
DS2GROCERIES\train\lettuce\lettuce.1030.jpg	lettuce	1.670
DS2GROCERIES\train\lettuce\lettuce.521.jpg	lettuce	1.666
DS2GROCERIES\train\lettuce\lettuce.842.jpg	lettuce	1.664
DS2GROCERIES\train\lettuce\lettuce.564.jpg	lettuce	1.662
DS2GROCERIES\train\lettuce\lettuce.1302.jpg	lettuce	1.662
DS2GROCERIES\train\lettuce\lettuce.88.jpg	lettuce	1.658
DS2GROCERIES\train\lettuce\lettuce.81.jpg	lettuce	1.656
DS2GROCERIES\train\lettuce\lettuce.59.jpg	lettuce	1.656
DS2GROCERIES\train\lettuce\lettuce.256.jpg	lettuce	1.654
DS2GROCERIES\train\lettuce\lettuce.922.jpg	lettuce	1.651
DS2GROCERIES\train\lettuce\lettuce.176.jpg	lettuce	1.648
DS2GROCERIES\train\lettuce\lettuce.210.jpg	lettuce	1.647
DS2GROCERIES\train\lettuce\lettuce.439.jpg	lettuce	1.644
DS2GROCERIES\train\milk\milk.944.jpg	milk	1.543
DS2GROCERIES\train\milk\milk.846.jpg	milk	1.542
DS2GROCERIES\train\milk\milk.1704.jpg	milk	1.509
DS2GROCERIES\train\milk\milk.576.jpg	milk	1.507
DS2GROCERIES\train\milk\milk.22.jpg	milk	1.503
DS2GROCERIES\train\milk\milk.216.jpg	milk	1.492
DS2GROCERIES\train\milk\milk.500.jpg	milk	1.489
DS2GROCERIES\train\milk\milk.904.jpg	milk	1.489
DS2GROCERIES\train\milk\milk.1153.jpg	milk	1.488
DS2GROCERIES\train\milk\milk.1189.jpg	milk	1.486
DS2GROCERIES\train\milk\milk.1843.jpg	milk	1.485
DS2GROCERIES\train\milk\milk.1920.jpg	milk	1.483
DS2GROCERIES\train\milk\milk.679.jpg	milk	1.482
DS2GROCERIES\train\milk\milk.81.jpg	milk	1.481
DS2GROCERIES\train\milk\milk.1043.jpg	milk	1.480
DS2GROCERIES\train\milk\milk.626.jpg	milk	1.479
DS2GROCERIES\train\milk\milk.429.jpg	milk	1.477
DS2GROCERIES\train\milk\milk.1807.jpg	milk	1.477
DS2GROCERIES\train\milk\milk.1809.jpg	milk	1.474
DS2GROCERIES\train\milk\milk.593.jpg	milk	1.473
DS2GROCERIES\train\milk\milk.1267.jpg	milk	1.468
DS2GROCERIES\train\milk\milk.227.jpg	milk	1.468
DS2GROCERIES\train\milk\milk.732.jpg	milk	1.468
DS2GROCERIES\train\milk\milk.84.jpg	milk	1.468
DS2GROCERIES\train\milk\milk.1139.jpg	milk	1.467
DS2GROCERIES\train\milk\milk.1216.jpg	milk	1.465
DS2GROCERIES\train\milk\milk.990.jpg	milk	1.465
DS2GROCERIES\train\milk\milk.53.jpg	milk	1.462
DS2GROCERIES\train\milk\milk.357.jpg	milk	1.460
DS2GROCERIES\train\milk\milk.213.jpg	milk	1.460
DS2GROCERIES\train\milk\milk.391.jpg	milk	1.459
DS2GROCERIES\train\milk\milk.951.jpg	milk	1.457
DS2GROCERIES\train\milk\milk.1040.jpg	milk	1.456
DS2GROCERIES\train\milk\milk.125.jpg	milk	1.455
DS2GROCERIES\train\milk\milk.1113.jpg	milk	1.454
DS2GROCERIES\train\milk\milk.945.jpg	milk	1.453
DS2GROCERIES\train\milk\milk.761.jpg	milk	1.452
DS2GROCERIES\train\milk\milk.1105.jpg	milk	1.450
DS2GROCERIES\train\milk\milk.418.jpg	milk	1.450
DS2GROCERIES\train\milk\milk.190.jpg	milk	1.448
DS2GROCERIES\train\milk\milk.390.jpg	milk	1.447
DS2GROCERIES\train\milk\milk.65.jpg	milk	1.447
DS2GROCERIES\train\milk\milk.450.jpg	milk	1.446
DS2GROCERIES\train\milk\milk.252.jpg	milk	1.446
DS2GROCERIES\train\milk\milk.37.jpg	milk	1.445
DS2GROCERIES\train\milk\milk.365.jpg	milk	1.441
DS2GROCERIES\train\milk\milk.1016.jpg	milk	1.440
DS2GROCERIES\train\milk\milk.66.jpg	milk	1.440
DS2GROCERIES\train\milk\milk.361.jpg	milk	1.439
DS2GROCERIES\train\milk\milk.1270.jpg	milk	1.439
DS2GROCERIES\train\milk\milk.1196.jpg	milk	1.437
DS2GROCERIES\train\milk\milk.140.jpg	milk	1.434
DS2GROCERIES\train\milk\milk.112.jpg	milk	1.433
DS2GROCERIES\train\milk\milk.27.jpg	milk	1.433
DS2GROCERIES\train\milk\milk.1227.jpg	milk	1.433
DS2GROCERIES\train\milk\milk.124.jpg	milk	1.432
DS2GROCERIES\train\milk\milk.1956.jpg	milk	1.428
DS2GROCERIES\train\milk\milk.110.jpg	milk	1.427
DS2GROCERIES\train\milk\milk.1193.jpg	milk	1.426
DS2GROCERIES\train\milk\milk.1859.jpg	milk	1.423
DS2GROCERIES\train\milk\milk.1970.jpg	milk	1.422
DS2GROCERIES\train\milk\milk.317.jpg	milk	1.422
DS2GROCERIES\train\milk\milk.1826.jpg	milk	1.421
DS2GROCERIES\train\milk\milk.235.jpg	milk	1.420
DS2GROCERIES\train\milk\milk.1788.jpg	milk	1.420
DS2GROCERIES\train\milk\milk.520.jpg	milk	1.419
DS2GROCERIES\train\milk\milk.1133.jpg	milk	1.419
DS2GROCERIES\train\milk\milk.1750.jpg	milk	1.415
DS2GROCERIES\train\milk\milk.855.jpg	milk	1.415
DS2GROCERIES\train\milk\milk.601.jpg	milk	1.412
DS2GROCERIES\train\milk\milk.1817.jpg	milk	1.412
DS2GROCERIES\train\milk\milk.594.jpg	milk	1.412
DS2GROCERIES\train\milk\milk.360.jpg	milk	1.411
DS2GROCERIES\train\milk\milk.1771.jpg	milk	1.411
DS2GROCERIES\train\onions\onions.257.jpg	onions	1.301
DS2GROCERIES\train\onions\onions.1935.jpg	onions	1.284
DS2GROCERIES\train\onions\onions.1785.jpg	onions	1.279
DS2GROCERIES\train\onions\onions.1912.jpg	onions	1.279
DS2GROCERIES\train\onions\onions.1984.jpg	onions	1.278
DS2GROCERIES\train\onions\onions.1952.jpg	onions	1.277
DS2GROCERIES\train\onions\onions.517.jpg	onions	1.276
DS2GROCERIES\train\onions\onions.149.jpg	onions	1.276
DS2GROCERIES\train\onions\onions.494.jpg	onions	1.276
DS2GROCERIES\train\onions\onions.343.jpg	onions	1.275
DS2GROCERIES\train\onions\onions.1799.jpg	onions	1.274
DS2GROCERIES\train\onions\onions.768.jpg	onions	1.274
DS2GROCERIES\train\onions\onions.808.jpg	onions	1.273
DS2GROCERIES\train\onions\onions.757.jpg	onions	1.273
DS2GROCERIES\train\onions\onions.146.jpg	onions	1.272
DS2GROCERIES\train\onions\onions.166.jpg	onions	1.270
DS2GROCERIES\train\onions\onions.974.jpg	onions	1.270
DS2GROCERIES\train\onions\onions.297.jpg	onions	1.269
